iter	Passed	Remaining
0	0	91
1	1	81
2	2	81
3	3	74
4	3	74
5	4	73
6	5	73
7	6	72
8	7	73
9	8	72
10	8	71
11	9	72
12	10	72
13	11	71
14	12	70
15	13	69
16	13	68
17	14	66
18	15	65
19	16	64
20	16	63
21	17	63
22	18	62
23	19	61
24	20	60
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	35	45
44	36	44
45	36	43
46	37	42
47	38	41
48	39	40
49	40	40
50	41	39
51	42	39
52	43	38
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	47	32
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	58	23
71	58	22
72	59	22
73	60	21
74	61	20
75	62	19
76	63	18
77	63	18
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	78	2
97	78	1
98	79	0
99	80	0
