iter	Passed	Remaining
0	155	155448
1	156	78005
2	156	52150
3	157	39328
4	158	31569
5	159	26413
6	160	22721
7	160	19936
8	161	17785
9	162	16049
10	162	14638
11	163	13454
12	164	12461
13	164	11607
14	165	10866
15	166	10216
16	166	9642
17	167	9132
18	167	8671
19	168	8260
20	169	7887
21	169	7549
22	170	7243
23	171	6960
24	171	6700
25	172	6458
26	173	6238
27	173	6037
28	174	5848
29	175	5668
30	176	5502
31	176	5346
32	177	5206
33	178	5066
34	178	4935
35	179	4813
36	180	4698
37	181	4584
38	181	4478
39	182	4378
40	183	4281
41	183	4190
42	184	4103
43	185	4020
44	185	3940
45	186	3867
46	187	3795
47	187	3725
48	188	3658
49	189	3595
50	189	3531
51	190	3471
52	191	3413
53	191	3358
54	192	3305
55	193	3255
56	193	3203
57	194	3154
58	194	3108
59	195	3063
60	196	3020
61	196	2977
62	197	2935
63	198	2900
64	199	2862
65	199	2824
66	200	2787
67	200	2752
68	201	2720
69	202	2687
70	202	2654
71	203	2624
72	204	2593
73	204	2563
74	205	2534
75	206	2505
76	206	2478
77	207	2450
78	207	2424
79	208	2398
80	209	2372
81	209	2347
82	210	2320
83	210	2296
84	211	2274
85	211	2252
86	212	2233
87	213	2212
88	214	2192
89	214	2171
90	215	2152
91	216	2133
92	216	2115
93	217	2098
94	218	2080
95	219	2062
96	219	2045
97	220	2027
98	220	2010
99	221	1994
100	222	1977
101	222	1961
102	223	1945
103	224	1930
104	224	1914
105	225	1900
106	225	1886
107	226	1873
108	227	1859
109	228	1845
110	228	1832
111	229	1818
112	229	1805
113	230	1792
114	231	1780
115	232	1768
116	232	1755
117	233	1742
118	233	1730
119	234	1718
120	234	1707
121	235	1694
122	235	1682
123	236	1671
124	237	1661
125	237	1650
126	238	1638
127	238	1628
128	239	1617
129	240	1606
130	240	1597
131	241	1588
132	242	1579
133	242	1569
134	243	1560
135	244	1550
136	244	1541
137	245	1532
138	246	1525
139	246	1517
140	247	1508
141	247	1498
142	248	1489
143	249	1480
144	249	1472
145	250	1464
146	250	1456
147	251	1448
148	252	1440
149	252	1432
150	253	1424
151	253	1417
152	254	1410
153	255	1403
154	256	1395
155	256	1388
156	257	1381
157	257	1374
158	258	1367
159	259	1359
160	259	1351
161	260	1345
162	260	1338
163	261	1333
164	262	1326
165	262	1320
166	263	1313
167	264	1307
168	264	1302
169	265	1296
170	266	1290
171	266	1284
172	267	1278
173	268	1272
174	268	1266
175	269	1260
176	269	1255
177	270	1248
178	271	1243
179	271	1237
180	272	1231
181	272	1226
182	273	1220
183	273	1214
184	274	1209
185	275	1203
186	276	1200
187	276	1195
188	277	1190
189	278	1185
190	278	1180
191	279	1174
192	279	1170
193	280	1164
194	280	1159
195	281	1155
196	282	1150
197	282	1145
198	283	1140
199	283	1135
200	284	1131
201	285	1126
202	285	1121
203	286	1117
204	286	1112
205	287	1108
206	288	1103
207	288	1098
208	289	1094
209	289	1090
210	290	1086
211	291	1083
212	292	1079
213	292	1074
214	293	1070
215	293	1066
216	294	1063
217	295	1060
218	296	1056
219	296	1051
220	297	1048
221	298	1044
222	298	1040
223	299	1036
224	299	1032
225	300	1028
226	300	1024
227	301	1020
228	302	1017
229	302	1013
230	303	1009
231	304	1006
232	304	1002
233	305	999
234	306	996
235	306	993
236	307	990
237	308	986
238	308	983
239	309	980
240	310	976
241	310	973
242	311	970
243	312	966
244	312	963
245	313	959
246	313	956
247	314	953
248	314	950
249	315	946
250	316	943
251	316	940
252	317	936
253	318	934
254	318	930
255	319	927
256	319	924
257	320	921
258	321	919
259	321	916
260	322	913
261	323	910
262	323	907
263	324	904
264	324	901
265	325	898
266	326	895
267	326	892
268	327	889
269	327	886
270	328	883
271	328	880
272	329	877
273	330	874
274	330	871
275	331	869
276	332	867
277	332	864
278	333	862
279	334	859
280	334	856
281	335	853
282	336	851
283	336	849
284	337	846
285	338	843
286	338	841
287	339	839
288	340	836
289	340	834
290	341	831
291	341	829
292	342	826
293	343	824
294	343	821
295	344	819
296	345	816
297	345	814
298	346	812
299	347	810
300	348	808
301	348	806
302	349	803
303	350	801
304	350	799
305	351	797
306	352	795
307	352	792
308	353	790
309	354	788
310	354	786
311	355	783
312	356	781
313	356	779
314	357	777
315	358	774
316	358	772
317	359	770
318	359	768
319	360	765
320	361	763
321	361	761
322	362	759
323	362	757
324	363	754
325	364	752
326	364	750
327	365	748
328	366	746
329	366	744
330	367	742
331	367	740
332	368	738
333	369	736
334	369	734
335	370	731
336	370	729
337	371	727
338	372	725
339	372	723
340	373	721
341	373	719
342	374	717
343	374	715
344	375	712
345	376	710
346	376	708
347	377	706
348	378	705
349	379	703
350	379	702
351	380	700
352	381	699
353	382	697
354	382	695
355	383	693
356	384	691
357	384	690
358	385	688
359	386	686
360	386	684
361	387	682
362	387	680
363	388	678
364	389	676
365	389	675
366	390	673
367	390	671
368	391	669
369	392	667
370	392	665
371	393	663
372	393	661
373	394	660
374	395	659
375	396	657
376	396	655
377	397	653
378	397	651
379	398	650
380	399	648
381	399	646
382	400	644
383	400	643
384	401	641
385	402	639
386	402	637
387	403	636
388	403	634
389	404	632
390	405	630
391	405	629
392	406	627
393	406	625
394	407	623
395	408	622
396	408	620
397	409	619
398	410	617
399	410	616
400	411	614
401	411	612
402	412	611
403	413	609
404	413	607
405	414	606
406	414	604
407	415	602
408	415	601
409	416	599
410	417	597
411	417	596
412	418	594
413	418	592
414	419	591
415	419	589
416	420	587
417	421	586
418	421	584
419	422	583
420	422	581
421	423	580
422	424	578
423	424	577
424	425	575
425	426	574
426	426	572
427	427	571
428	427	569
429	428	568
430	429	566
431	429	565
432	430	563
433	431	562
434	431	560
435	432	559
436	432	557
437	433	556
438	433	554
439	434	552
440	435	551
441	435	549
442	436	548
443	437	547
444	437	545
445	438	544
446	438	542
447	439	541
448	440	540
449	440	538
450	441	537
451	442	535
452	442	534
453	443	533
454	443	531
455	444	530
456	445	529
457	446	528
458	446	526
459	447	525
460	447	523
461	448	522
462	449	520
463	449	519
464	450	518
465	451	516
466	451	515
467	452	514
468	452	512
469	453	511
470	453	509
471	454	508
472	455	507
473	456	506
474	456	504
475	457	503
476	457	502
477	458	500
478	459	499
479	459	498
480	460	496
481	460	495
482	461	494
483	462	492
484	462	491
485	463	490
486	463	488
487	464	487
488	465	486
489	465	484
490	466	483
491	467	482
492	467	481
493	468	479
494	469	478
495	469	477
496	470	476
497	471	474
498	471	473
499	472	472
500	472	470
501	473	469
502	473	468
503	474	467
504	475	465
505	475	464
506	476	463
507	476	461
508	477	460
509	478	459
510	478	458
511	479	457
512	480	456
513	481	454
514	481	453
515	482	452
516	482	451
517	483	449
518	484	448
519	484	447
520	485	446
521	486	445
522	486	444
523	487	442
524	488	441
525	488	440
526	489	439
527	490	438
528	490	436
529	491	435
530	491	434
531	492	433
532	492	431
533	493	430
534	494	429
535	494	428
536	495	427
537	496	426
538	496	424
539	497	423
540	497	422
541	498	421
542	499	420
543	500	419
544	501	418
545	501	417
546	502	416
547	503	414
548	503	413
549	504	412
550	504	411
551	505	410
552	506	409
553	506	407
554	507	406
555	507	405
556	508	404
557	509	403
558	509	402
559	510	401
560	510	399
561	511	398
562	512	397
563	512	396
564	513	395
565	514	394
566	515	393
567	516	392
568	516	391
569	517	390
570	518	389
571	518	388
572	519	387
573	520	386
574	521	385
575	521	384
576	522	382
577	523	381
578	523	380
579	524	379
580	525	378
581	525	377
582	526	376
583	527	375
584	527	374
585	528	373
586	529	372
587	529	371
588	530	370
589	531	369
590	531	368
591	532	366
592	533	365
593	533	364
594	534	363
595	534	362
596	535	361
597	536	360
598	537	359
599	538	358
600	538	357
601	539	356
602	540	355
603	541	354
604	542	353
605	542	352
606	543	351
607	544	350
608	544	349
609	545	348
610	546	347
611	547	346
612	547	345
613	548	344
614	549	343
615	549	342
616	550	341
617	550	340
618	551	339
619	552	338
620	553	337
621	553	336
622	554	335
623	554	334
624	555	333
625	556	332
626	556	331
627	557	330
628	558	329
629	558	328
630	559	327
631	560	326
632	561	325
633	561	324
634	562	323
635	563	322
636	563	321
637	564	320
638	565	319
639	565	318
640	566	317
641	566	316
642	567	315
643	568	314
644	568	313
645	569	312
646	570	311
647	570	310
648	571	309
649	572	308
650	573	307
651	573	306
652	574	305
653	575	304
654	576	303
655	576	302
656	577	301
657	577	300
658	578	299
659	579	298
660	579	297
661	580	296
662	581	295
663	581	294
664	582	293
665	582	292
666	583	291
667	584	290
668	584	289
669	585	288
670	585	287
671	586	286
672	587	285
673	587	284
674	588	283
675	589	282
676	590	281
677	590	280
678	591	279
679	591	278
680	592	277
681	593	276
682	593	275
683	594	274
684	594	273
685	595	272
686	595	271
687	596	270
688	596	269
689	597	268
690	597	267
691	598	266
692	598	265
693	599	264
694	600	263
695	600	262
696	601	261
697	601	260
698	602	259
699	603	258
700	603	257
701	604	256
702	605	255
703	605	254
704	606	253
705	606	252
706	607	251
707	607	250
708	608	249
709	608	248
710	609	247
711	610	246
712	610	245
713	611	244
714	611	243
715	612	242
716	612	241
717	613	240
718	613	239
719	614	238
720	615	238
721	615	237
722	616	236
723	616	235
724	617	234
725	618	233
726	618	232
727	619	231
728	619	230
729	621	229
730	621	228
731	622	227
732	622	226
733	623	225
734	623	224
735	624	224
736	625	223
737	625	222
738	626	221
739	626	220
740	627	219
741	627	218
742	628	217
743	628	216
744	629	215
745	630	214
746	630	213
747	631	212
748	631	211
749	632	210
750	633	209
751	633	208
752	634	208
753	635	207
754	635	206
755	636	205
756	637	204
757	637	203
758	638	202
759	639	201
760	639	200
761	640	200
762	641	199
763	641	198
764	642	197
765	643	196
766	643	195
767	644	194
768	644	193
769	645	192
770	646	191
771	646	190
772	647	190
773	647	189
774	648	188
775	648	187
776	649	186
777	650	185
778	650	184
779	651	183
780	652	182
781	653	182
782	653	181
783	654	180
784	655	179
785	655	178
786	656	177
787	656	176
788	657	175
789	657	174
790	658	173
791	658	173
792	659	172
793	659	171
794	660	170
795	661	169
796	661	168
797	662	167
798	662	166
799	663	165
800	664	165
801	665	164
802	665	163
803	666	162
804	667	161
805	667	160
806	668	159
807	669	159
808	669	158
809	670	157
810	671	156
811	672	155
812	672	154
813	673	153
814	673	152
815	674	152
816	675	151
817	675	150
818	676	149
819	677	148
820	677	147
821	678	146
822	679	146
823	679	145
824	680	144
825	681	143
826	681	142
827	682	141
828	683	140
829	683	140
830	684	139
831	685	138
832	686	137
833	686	136
834	687	135
835	688	134
836	688	134
837	689	133
838	689	132
839	690	131
840	690	130
841	691	129
842	692	128
843	692	128
844	693	127
845	694	126
846	695	125
847	695	124
848	697	123
849	697	123
850	698	122
851	699	121
852	700	120
853	700	119
854	701	118
855	702	118
856	703	117
857	703	116
858	704	115
859	705	114
860	705	113
861	706	113
862	707	112
863	707	111
864	708	110
865	708	109
866	709	108
867	710	108
868	711	107
869	711	106
870	712	105
871	713	104
872	714	103
873	714	103
874	715	102
875	716	101
876	717	100
877	717	99
878	718	98
879	719	98
880	719	97
881	720	96
882	720	95
883	721	94
884	722	93
885	722	93
886	723	92
887	724	91
888	725	90
889	725	89
890	726	88
891	727	88
892	728	87
893	728	86
894	729	85
895	730	84
896	731	83
897	731	83
898	732	82
899	732	81
900	733	80
901	734	79
902	734	78
903	735	78
904	736	77
905	737	76
906	737	75
907	738	74
908	738	73
909	739	73
910	740	72
911	740	71
912	741	70
913	742	69
914	743	69
915	743	68
916	744	67
917	745	66
918	745	65
919	746	64
920	746	64
921	747	63
922	748	62
923	749	61
924	749	60
925	750	59
926	750	59
927	751	58
928	751	57
929	752	56
930	753	55
931	754	55
932	754	54
933	755	53
934	756	52
935	757	51
936	758	51
937	759	50
938	760	49
939	761	48
940	761	47
941	762	46
942	763	46
943	763	45
944	764	44
945	764	43
946	765	42
947	766	42
948	767	41
949	767	40
950	768	39
951	769	38
952	769	37
953	770	37
954	771	36
955	772	35
956	772	34
957	773	33
958	774	33
959	775	32
960	775	31
961	776	30
962	776	29
963	777	29
964	778	28
965	778	27
966	779	26
967	779	25
968	780	24
969	781	24
970	781	23
971	782	22
972	782	21
973	783	20
974	784	20
975	784	19
976	785	18
977	786	17
978	787	16
979	787	16
980	788	15
981	789	14
982	789	13
983	790	12
984	791	12
985	791	11
986	792	10
987	793	9
988	793	8
989	794	8
990	795	7
991	795	6
992	796	5
993	796	4
994	799	4
995	799	3
996	800	2
997	801	1
998	802	0
999	802	0
